"chr","mean.coverage"
"1",48.7691652062083
"2",50.4141618691004
"3",46.9485836798728
"4",48.8807865200305
"5",43.6337080890208
"6",45.3251023601079
"7",45.0320344242099
"8",42.9094796268613
"9",48.6049862916926
"10",48.2091444386279
"11",42.0914773587127
"12",41.5050198910019
"13",44.825363813803
"14",42.628684354104
"15",40.6767638115412
"16",64.6905583523198
"17",51.5023005135871
"18",44.9304257070618
"19",40.9290595137718
"20",55.5216665934934
"21",96.625542713269
"22",39.3992795369237
